number,title,state,merged,created_at,closed_at,merged_at,cycle_time_hours,base_ref,head_ref,additions,deletions,changed_files,labels,is_task_pr,task_id,target,is_generation_pr,is_recurring_pr
151,Upgrade cobbler-scaffold to v0.20260302.0 (GH-150),MERGED,True,2026-03-02T22:50:10+00:00,2026-03-02T22:50:15+00:00,2026-03-02T22:50:15+00:00,0.0014,main,gh-150-upgrade-scaffold,3,3,2,,False,,,False,False
148,GH-97: Generate code from specifications (2-measure parallelism),MERGED,True,2026-03-02T20:07:54+00:00,2026-03-02T20:08:29+00:00,2026-03-02T20:08:29+00:00,0.0097,main,gh-97-gen-2measure,2,2,2,,False,,,False,False
85,GH-84: Add generation scope exclusion list to ARCHITECTURE.yaml,MERGED,True,2026-03-02T12:30:54+00:00,2026-03-02T12:30:59+00:00,2026-03-02T12:30:59+00:00,0.0014,main,gh-84-generation-non-goals,29,20,2,,False,,,False,False
77,GH-74: Upgrade to latest cobbler-scaffold,MERGED,True,2026-03-02T03:06:02+00:00,2026-03-02T03:06:07+00:00,2026-03-02T03:06:07+00:00,0.0014,main,gh-74-upgrade-scaffold,5,4,3,,False,,,False,False
76,GH-75: Remove all mentions of beads/bd,MERGED,True,2026-03-02T02:58:41+00:00,2026-03-02T02:58:45+00:00,2026-03-02T02:58:45+00:00,0.0011,main,gh-75-remove-beads,29,888,28,,False,,,False,False
73,GH-70: Update README,MERGED,True,2026-02-28T23:13:03+00:00,2026-02-28T23:13:07+00:00,2026-02-28T23:13:07+00:00,0.0011,main,gh-70-update-readme,25,31,1,,False,,,False,False
71,GH-50: Move du into rel01.3 dot release,MERGED,True,2026-02-28T22:50:22+00:00,2026-02-28T22:50:26+00:00,2026-02-28T22:50:26+00:00,0.0011,main,gh-50-move-du-rel01x,25,25,5,,False,,,False,False
66,"GH-60: Split wc, cat, sponge into separate dot releases",MERGED,True,2026-02-28T22:38:49+00:00,2026-02-28T22:38:54+00:00,2026-02-28T22:38:54+00:00,0.0014,main,gh-60-split-dot-releases,595,532,12,,False,,,False,False
61,GH-36: Generate code from specifications (per-release),MERGED,True,2026-02-28T19:42:56+00:00,2026-02-28T19:44:04+00:00,2026-02-28T19:44:04+00:00,0.0189,main,gh-36-generation-per-release,255,187,13,,False,,,False,False
51,GH-49: Fix rel00.0 roadmap status to spec_complete,MERGED,True,2026-02-28T16:24:22+00:00,2026-02-28T16:24:26+00:00,2026-02-28T16:24:26+00:00,0.0011,main,gh-49-fix-rel00-status,6,6,2,,False,,,False,False
48,GH-45: Stress test: validate requirement decomposition against stitch budget,MERGED,True,2026-02-28T15:53:42+00:00,2026-02-28T15:53:47+00:00,2026-02-28T15:53:47+00:00,0.0014,main,gh-45-stress-test-decomposition,378,44,4,,False,,,False,False
47,GH-44: Move ls to rel99.0 to unblock generation pipeline,MERGED,True,2026-02-28T15:21:28+00:00,2026-02-28T15:21:34+00:00,2026-02-28T15:21:34+00:00,0.0017,main,gh-44-move-ls-to-rel99,304,275,8,,False,,,False,False
46,GH-37: Revise prd001-testutils for rel00.0,MERGED,True,2026-02-28T15:02:40+00:00,2026-02-28T15:02:51+00:00,2026-02-28T15:02:51+00:00,0.0031,main,gh-37-revise-prd001-testutils,315,11,6,,False,,,False,False
43,GH-38: Revise prd002-sys for rel00.0,MERGED,True,2026-02-28T14:44:24+00:00,2026-02-28T14:44:34+00:00,2026-02-28T14:44:34+00:00,0.0028,main,gh-38-revise-prd002-sys,4435,5,9,,False,,,False,False
42,GH-39: Revise prd003-format for rel00.0,MERGED,True,2026-02-28T14:25:51+00:00,2026-02-28T14:25:57+00:00,2026-02-28T14:25:57+00:00,0.0017,main,gh-39-revise-prd003-format,4365,8,10,,False,,,False,False
41,GH-40: Write PRD for magefiles,MERGED,True,2026-02-28T14:13:37+00:00,2026-02-28T14:13:42+00:00,2026-02-28T14:13:42+00:00,0.0014,main,gh-40-prd-magefiles,19588,2,21,,False,,,False,False
34,"GH-29: Generation run 6 — eng12, cmd/wc, cmd/sponge, pkg/testutils, pkg/sys",MERGED,True,2026-02-28T12:22:07+00:00,2026-02-28T12:22:10+00:00,2026-02-28T12:22:10+00:00,0.0008,main,gh-29-generation-run-6-clean-end-to-end,278,28,3,,False,,cmd/wc,False,False
32,GH-31: Rewrite all PRDs to be self-contained and atomically scoped,MERGED,True,2026-02-28T02:39:36+00:00,2026-02-28T02:39:50+00:00,2026-02-28T02:39:50+00:00,0.0039,main,gh-31-rewrite-prds-self-contained-atomic,208,52,9,,False,,,False,False
30,GH-26: Generation run 5 — rel02.0 stitch (seeded),MERGED,True,2026-02-27T21:53:32+00:00,2026-02-27T21:53:38+00:00,2026-02-27T21:53:38+00:00,0.0017,main,gh-26-generation-run-5,6225,14,36,,False,,,False,False
28,GH-27: Upgrade docs to latest cobbler-scaffold documentation standard,MERGED,True,2026-02-27T19:17:31+00:00,2026-02-27T19:17:40+00:00,2026-02-27T19:17:39+00:00,0.0022,main,gh-27-upgrade-docs-to-latest-standard,107,67,18,,False,,,False,False
25,GH-24: Recurring: Full generation run from current specifications,MERGED,True,2026-02-27T04:47:30+00:00,2026-02-27T04:47:35+00:00,2026-02-27T04:47:35+00:00,0.0014,main,gh-24-generation-run-4,415,4278,8,,False,,,False,False
23,GH-22: Recurring: Full generation run from current specifications,MERGED,True,2026-02-27T03:55:32+00:00,2026-02-27T03:55:37+00:00,2026-02-27T03:55:37+00:00,0.0014,main,gh-22-generation-run-3,387,20,5,,False,,,False,False
21,GH-16: Recurring: Full generation run from current specifications,MERGED,True,2026-02-27T02:40:24+00:00,2026-02-27T02:40:30+00:00,2026-02-27T02:40:30+00:00,0.0017,main,gh-16-full-generation-run,409,151788,141,,False,,,False,False
19,GH-18: Benchmark generation runs: default vs include-all vs exclude-all file contexts,MERGED,True,2026-02-26T15:32:00+00:00,2026-02-26T15:32:06+00:00,2026-02-26T15:32:06+00:00,0.0017,main,gh-18-context-benchmark,529,6,4,,False,,,False,False
13,GH-12: Reset main to specification-only state (v0 conformance),MERGED,True,2026-02-25T20:03:18+00:00,2026-02-25T20:03:23+00:00,2026-02-25T20:03:23+00:00,0.0014,main,gh-12-v0-conformance-reset,28,4607,25,,False,,,False,False
11,GH-3: Generate go-unix-utils code via validated pipeline,MERGED,True,2026-02-25T14:03:18+00:00,2026-02-25T14:03:24+00:00,2026-02-25T14:03:24+00:00,0.0017,main,gh-3-generate-code-via-pipeline,0,0,0,,False,,,False,False
10,GH-8: Re-run measure reproducibility test after single-turn fix,MERGED,True,2026-02-25T04:31:26+00:00,2026-02-25T04:31:32+00:00,2026-02-25T04:31:32+00:00,0.0017,main,gh-8-rerun-measure-reproducibility,8989,35,13,,False,,,False,False
9,GH-2: Validate measure+stitch pipeline,MERGED,True,2026-02-25T03:42:02+00:00,2026-02-25T03:46:16+00:00,2026-02-25T03:46:15+00:00,0.0703,main,gh-2-validate-measure-stitch,13910,3,19,,False,,,False,False
6,GH-5: Compare two generation runs for reproducibility,MERGED,True,2026-02-25T02:59:52+00:00,2026-02-25T03:23:04+00:00,2026-02-25T03:23:04+00:00,0.3867,main,gh-5-compare-generation-runs,743,13485,33,,False,,,False,False
