run_id,start_at,end_at,end_state,wall_clock_hours,task_count,unique_task_ids,retry_count,stitch_count,measure_count,total_cost_usd,total_tokens_input,total_tokens_output,total_tokens_cache_creation,total_tokens_cache_read,total_loc_prod_delta,total_loc_test_delta,total_duration_s,zero_loc_count,zero_loc_cost_usd,unique_targets
gh-313-generate-code,2026-03-06T15:38:20+00:00,2026-03-06T16:01:29+00:00,merged,0.39,3,3,0,3,0,3.3804999999999996,2979519,34032,180788,2798662,-563,-403,585,1,1.151,3
gh-336-generate-code,2026-03-06T16:47:32+00:00,2026-03-06T17:05:04+00:00,merged,0.29,2,2,0,2,0,2.3495,2219216,23634,112750,2106317,267,267,449,0,0.0,1
gh-336-generate-code-r02.2,2026-03-06T17:05:40+00:00,2026-03-06T17:23:39+00:00,merged,0.3,2,2,0,2,0,4.4102,4460569,48941,166267,4294227,648,353,803,0,0.0,2
gh-336-generate-code-r05.0,2026-03-06T17:24:20+00:00,2026-03-06T17:55:34+00:00,merged,0.52,4,4,0,4,0,8.2597,9116296,77333,307409,8808742,1154,706,1491,0,0.0,4
gh-336-generate-code-r05.1,2026-03-06T17:55:58+00:00,2026-03-06T18:10:24+00:00,merged,0.24,2,2,0,2,0,3.2968,3533209,28826,140731,3392406,625,287,510,0,0.0,2
gh-336-generate-code-r05.2,2026-03-06T18:10:52+00:00,2026-03-06T18:26:27+00:00,merged,0.26,2,2,0,2,0,2.7670000000000003,3000838,23500,118042,2882732,779,241,408,0,0.0,2
gh-336-generate-code-r05.3,2026-03-06T18:28:05+00:00,2026-03-06T18:49:35+00:00,merged,0.36,2,2,0,2,0,3.7542999999999997,3294645,49239,152297,3142284,522,181,779,0,0.0,2
gh-336-generate-code-r05.4,2026-03-06T18:49:55+00:00,2026-03-06T19:56:59+00:00,merged,1.12,8,5,3,8,0,9.653,7355019,93201,633905,6720971,960,204,1484,4,2.5231,1
gh-380-generate-code-from-specs,2026-03-07T00:02:28+00:00,2026-03-07T01:00:47+00:00,merged,0.97,10,6,4,10,0,9.223499999999998,190,105144,562134,6161059,587,157,1979,4,2.0746,1
gh-399-generate-code,2026-03-07T04:09:14+00:00,2026-03-07T18:14:21+00:00,merged,14.09,45,42,3,45,0,56.830200000000005,46095997,562099,3366425,42728681,9686,6077,9984,3,1.7214,31
gh-472-run20,2026-03-07T20:46:12+00:00,2026-03-08T00:47:49+00:00,merged,4.03,39,35,4,0,39,53.086000000000006,42132370,479929,3398561,38733006,10484,6687,8682,4,2.0101,31
gh-543-gen-run,2026-03-08T03:44:30+00:00,2026-03-08T04:18:48+00:00,merged,0.57,3,3,0,3,0,2.5072,1721624,31630,148780,1572809,798,738,509,0,0.0,3
gh-552-run23,2026-03-09T01:34:40+00:00,2026-03-09T02:09:40+00:00,finished,0.58,4,4,0,4,0,6.33,5933305,75303,246829,5686388,1129,779,1400,0,0.0,2
gh-552-run24,2026-03-09T02:48:42+00:00,2026-03-09T03:05:08+00:00,finished,0.27,3,3,0,3,0,2.7689,2321359,32121,139989,2181320,795,81,559,0,0.0,3
gh-552-run25,2026-03-09T03:49:50+00:00,2026-03-09T03:56:28+00:00,finished,0.11,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0
gh-552-run26,2026-03-09T11:22:52+00:00,2026-03-09T13:57:44+00:00,merged,2.58,15,14,1,15,0,15.812099999999997,13491808,135212,988667,12502937,1662,1771,2454,2,1.1413,6
gh-634-run27,2026-03-09T19:15:06+00:00,2026-03-09T20:47:35+00:00,merged,1.54,16,15,1,16,0,10.8209,7375029,81776,884938,6489955,957,1359,1504,1,0.613,1
gh-677-run28,2026-03-09T21:51:57+00:00,2026-03-10T19:05:41+00:00,in_progress,21.23,43,37,6,43,0,33.0328,25090918,326248,2144217,22946221,2093,3569,6084,6,2.5433,9
gh-799-run31,2026-03-10T19:05:41+00:00,2026-03-14T04:56:00+00:00,finished,81.84,239,224,15,239,0,236.0396,191534759,2352156,14148356,177362109,17651,26807,42561,18,8.1296,33
gh-1297-run32,2026-03-15T01:57:12+00:00,2026-03-15T02:53:04+00:00,finished,0.93,11,10,1,11,0,7.089500000000001,5513560,61451,486255,5027189,611,1189,1150,1,0.3246,2
gh-1329-run33,2026-03-15T03:16:14+00:00,2026-03-15T05:16:48+00:00,merged,2.01,24,24,0,24,0,19.670499999999997,13240517,166634,1544905,11695396,1677,2288,3016,0,0.0,6
