target,target_kind,srd_id,total_runs_touched,total_tasks,total_attempts,unique_task_ids,total_cost_usd,cost_variance_per_run,final_loc_prod,final_loc_test,mean_duration_s,p95_duration_s,zero_loc_count
cmd/truncate,cmd,srd083,3,10,10,10,15.8611,0.596751,23372,20671,339.3,934.75,1
cmd/ts,cmd,srd004,8,59,59,54,86.8799,4.817311,32666,25175,281.36,818.9,5
cmd/tsort,cmd,srd102,3,9,9,9,19.0973,1.263968,30472,24337,432.0,1057.4,0
cmd/tty,cmd,srd052,6,12,12,11,14.3698,1.404471,5634,4417,201.0,611.9,1
cmd/uname,cmd,srd044,6,25,25,23,29.933,2.38008,4330,3714,159.56,361.6,2
cmd/unexpand,cmd,srd025,10,31,31,30,38.48,2.679576,7503,6362,193.94,450.0,1
cmd/uniq,cmd,srd028,9,29,29,29,40.2029,1.743535,8443,7126,221.38,492.8,0
cmd/unlink,cmd,srd038,7,21,21,16,22.7817,2.034194,10230,9854,153.0,266.0,1
cmd/users,cmd,srd096,4,11,11,11,12.1118,0.352371,25868,22974,143.18,262.5,0
cmd/vdir,cmd,srd108,3,11,11,11,22.5695,0.409608,29757,24004,307.64,768.0,1
cmd/version,cmd,srd059,13,26,26,25,24.07,1.390797,1390,63,113.62,223.0,0
cmd/vidir,cmd,srd114,3,8,8,8,12.7745,0.134234,30911,24639,276.0,594.65,0
cmd/wc,cmd,srd005,13,46,46,46,78.8161,4.346612,3858,3389,340.0,683.75,0
cmd/who,cmd,srd097,4,15,15,15,23.641,1.975724,26482,23072,321.27,756.5,1
cmd/whoami,cmd,srd042,5,10,10,10,8.8351,0.359474,10865,11082,79.7,147.85,0
cmd/yes,cmd,srd012,8,19,19,19,20.8684,1.930059,2194,1430,194.74,538.9,0
pkg/encutil,pkg,srd088,4,13,13,13,12.0047,1.222601,1019,0,74.46,197.2,0
pkg/format,pkg,srd003,20,82,82,74,75.273,2.966781,32975,25278,140.2,436.35,12
pkg/hashutil,pkg,srd086,3,12,12,12,12.6081,2.024393,1389,0,88.17,187.35,0
pkg/sizeparse,pkg,srd087,4,11,11,11,11.86,1.308986,652,0,117.18,245.5,0
pkg/sys,pkg,srd002,24,79,79,76,64.8017,1.931835,529,0,129.33,308.2,4
pkg/testutils,pkg,srd001,23,103,103,94,95.8075,1.907293,32836,25278,161.39,424.3,12
