task_id,task_id_kind,invocation_count,status_history,successful_invocations,productive_invocations,total_cost_usd,wasted_cost_usd,total_duration_s,total_num_turns,first_started_at,last_started_at,span_hours
227,numeric,1,success,1,1,2.114745,0.0,695,0,2026-03-03T23:51:50Z,2026-03-03T23:51:50Z,0.0
228,numeric,1,success,1,1,1.248554,0.0,305,0,2026-03-04T00:06:37Z,2026-03-04T00:06:37Z,0.0
229,numeric,1,success,1,1,0.557577,0.0,134,0,2026-03-04T00:17:55Z,2026-03-04T00:17:55Z,0.0
230,numeric,1,success,1,1,0.567436,0.0,99,0,2026-03-04T00:22:33Z,2026-03-04T00:22:33Z,0.0
231,numeric,1,success,1,1,0.516722,0.0,70,0,2026-03-04T00:27:24Z,2026-03-04T00:27:24Z,0.0
232,numeric,1,success,1,1,0.567977,0.0,115,0,2026-03-04T00:45:44Z,2026-03-04T00:45:44Z,0.0
233,numeric,1,success,1,1,1.787065,0.0,440,0,2026-03-04T00:56:13Z,2026-03-04T00:56:13Z,0.0
234,numeric,1,success,1,1,1.871514,0.0,627,0,2026-03-04T01:08:24Z,2026-03-04T01:08:24Z,0.0
235,numeric,1,success,1,1,0.992569,0.0,250,0,2026-03-04T01:22:37Z,2026-03-04T01:22:37Z,0.0
236,numeric,1,success,1,1,0.486214,0.0,68,0,2026-03-04T01:29:48Z,2026-03-04T01:29:48Z,0.0
237,numeric,1,success,1,1,1.981912,0.0,430,0,2026-03-04T01:40:01Z,2026-03-04T01:40:01Z,0.0
238,numeric,1,success,1,1,0.497267,0.0,72,0,2026-03-04T02:05:45Z,2026-03-04T02:05:45Z,0.0
239,numeric,1,success,1,1,0.771962,0.0,130,0,2026-03-04T02:13:39Z,2026-03-04T02:13:39Z,0.0
240,numeric,1,success,1,1,1.309171,0.0,444,0,2026-03-04T02:16:43Z,2026-03-04T02:16:43Z,0.0
241,numeric,1,success,1,1,0.593693,0.0,83,0,2026-03-04T02:26:55Z,2026-03-04T02:26:55Z,0.0
242,numeric,1,success,1,1,0.553026,0.0,98,0,2026-03-04T02:38:52Z,2026-03-04T02:38:52Z,0.0
243,numeric,1,success,1,1,2.192634,0.0,159,0,2026-03-04T02:49:48Z,2026-03-04T02:49:48Z,0.0
244,numeric,1,success,1,1,0.548495,0.0,75,0,2026-03-04T02:54:36Z,2026-03-04T02:54:36Z,0.0
245,numeric,1,success,1,1,1.151241,0.0,201,0,2026-03-04T03:05:45Z,2026-03-04T03:05:45Z,0.0
246,numeric,1,success,1,1,0.322946,0.0,47,0,2026-03-04T03:27:21Z,2026-03-04T03:27:21Z,0.0
247,numeric,1,success,1,1,3.206705,0.0,375,0,2026-03-04T03:37:58Z,2026-03-04T03:37:58Z,0.0
248,numeric,1,success,1,1,0.721389,0.0,99,0,2026-03-04T03:49:24Z,2026-03-04T03:49:24Z,0.0
249,numeric,1,success,1,1,0.42033,0.0,45,0,2026-03-04T03:59:20Z,2026-03-04T03:59:20Z,0.0
250,numeric,1,success,1,1,0.58581,0.0,68,0,2026-03-04T04:05:41Z,2026-03-04T04:05:41Z,0.0
253,numeric,1,success,1,1,0.905666,0.0,104,0,2026-03-04T04:17:08Z,2026-03-04T04:17:08Z,0.0
254,numeric,1,success,1,0,0.927503,0.927503,56,0,2026-03-04T04:23:10Z,2026-03-04T04:23:10Z,0.0
255,numeric,1,success,1,1,0.68251,0.0,143,0,2026-03-04T04:26:56Z,2026-03-04T04:26:56Z,0.0
256,numeric,1,success,1,1,0.412741,0.0,39,0,2026-03-04T04:32:28Z,2026-03-04T04:32:28Z,0.0
257,numeric,1,success,1,1,0.358654,0.0,43,0,2026-03-04T04:35:01Z,2026-03-04T04:35:01Z,0.0
258,numeric,1,success,1,1,0.801829,0.0,117,0,2026-03-04T04:44:03Z,2026-03-04T04:44:03Z,0.0
259,numeric,1,success,1,1,0.611428,0.0,56,0,2026-03-04T04:50:22Z,2026-03-04T04:50:22Z,0.0
260,numeric,1,success,1,1,0.356073,0.0,51,0,2026-03-04T04:57:16Z,2026-03-04T04:57:16Z,0.0
280,numeric,1,success,1,1,2.880983,0.0,857,0,2026-03-05T00:00:59Z,2026-03-05T00:00:59Z,0.0
282,numeric,4,failed;failed;failed;success,1,1,1.826888,0.0,2858,0,2026-03-05T00:21:44Z,2026-03-05T13:10:47Z,12.82
287,numeric,1,success,1,0,0.636259,0.636259,120,0,2026-03-05T13:33:34Z,2026-03-05T13:33:34Z,0.0
289,numeric,1,success,1,0,0.268201,0.268201,839,0,2026-03-05T17:18:21Z,2026-03-05T17:18:21Z,0.0
290,numeric,1,success,1,1,4.50585,0.0,790,0,2026-03-05T17:37:53Z,2026-03-05T17:37:53Z,0.0
291,numeric,1,success,1,0,0.663928,0.663928,183,0,2026-03-05T17:57:45Z,2026-03-05T17:57:45Z,0.0
293,numeric,2,failed;success,1,1,3.527881,1.134486,1068,0,2026-03-05T18:06:39Z,2026-03-05T22:30:53Z,4.4
295,numeric,1,success,1,1,1.867267,0.0,369,0,2026-03-05T22:45:03Z,2026-03-05T22:45:03Z,0.0
297,numeric,1,success,1,1,1.340939,0.0,425,0,2026-03-05T22:55:14Z,2026-03-05T22:55:14Z,0.0
299,numeric,4,failed;failed;failed;success,1,1,3.50581,0.729665,1550,0,2026-03-05T23:08:13Z,2026-03-06T03:23:42Z,4.26
304,numeric,1,success,1,1,3.683891,0.0,877,0,2026-03-06T03:42:43Z,2026-03-06T03:42:43Z,0.0
306,numeric,1,success,1,1,3.594525,0.0,405,0,2026-03-06T04:07:45Z,2026-03-06T04:07:45Z,0.0
308,numeric,1,success,1,1,3.262523,0.0,608,0,2026-03-06T04:25:02Z,2026-03-06T04:25:02Z,0.0
310,numeric,1,success,1,1,2.769844,0.0,616,0,2026-03-06T04:48:02Z,2026-03-06T04:48:02Z,0.0
331,numeric,1,success,1,1,1.150953,0.0,228,0,2026-03-06T15:43:52Z,2026-03-06T15:43:52Z,0.0
332,numeric,1,success,1,1,0.869988,0.0,110,0,2026-03-06T15:49:06Z,2026-03-06T15:49:06Z,0.0
333,numeric,1,success,1,1,1.35946,0.0,253,0,2026-03-06T15:52:12Z,2026-03-06T15:52:12Z,0.0
340,numeric,1,success,1,1,1.345577,0.0,257,0,2026-03-06T16:52:32Z,2026-03-06T16:52:32Z,0.0
341,numeric,1,success,1,1,1.003864,0.0,194,0,2026-03-06T16:59:18Z,2026-03-06T16:59:18Z,0.0
343,numeric,1,success,1,1,2.691891,0.0,594,0,2026-03-06T17:07:54Z,2026-03-06T17:07:54Z,0.0
344,numeric,1,success,1,1,1.718291,0.0,211,0,2026-03-06T17:18:58Z,2026-03-06T17:18:58Z,0.0
346,numeric,1,success,1,1,1.072237,0.0,173,0,2026-03-06T17:25:41Z,2026-03-06T17:25:41Z,0.0
347,numeric,1,success,1,1,1.598494,0.0,469,0,2026-03-06T17:29:46Z,2026-03-06T17:29:46Z,0.0
348,numeric,1,success,1,1,2.140586,0.0,354,0,2026-03-06T17:38:45Z,2026-03-06T17:38:45Z,0.0
349,numeric,1,success,1,1,3.44841,0.0,499,0,2026-03-06T17:45:39Z,2026-03-06T17:45:39Z,0.0
351,numeric,1,success,1,1,1.48567,0.0,259,0,2026-03-06T17:57:27Z,2026-03-06T17:57:27Z,0.0
352,numeric,1,success,1,1,1.811112,0.0,253,0,2026-03-06T18:02:54Z,2026-03-06T18:02:54Z,0.0
354,numeric,1,success,1,1,0.822392,0.0,155,0,2026-03-06T18:12:54Z,2026-03-06T18:12:54Z,0.0
355,numeric,1,success,1,1,1.944556,0.0,255,0,2026-03-06T18:16:46Z,2026-03-06T18:16:46Z,0.0
357,numeric,1,success,1,1,1.607504,0.0,252,0,2026-03-06T18:29:40Z,2026-03-06T18:29:40Z,0.0
358,numeric,1,success,1,1,2.146789,0.0,530,0,2026-03-06T18:35:23Z,2026-03-06T18:35:23Z,0.0
360,numeric,1,success,1,1,2.463242,0.0,620,0,2026-03-06T18:51:27Z,2026-03-06T18:51:27Z,0.0
361,numeric,1,success,1,1,2.034993,0.0,217,0,2026-03-06T19:03:21Z,2026-03-06T19:03:21Z,0.0
